symbol,name
RELIANCE,Reliance Industries Ltd
TCS,Tata Consultancy Services Ltd
INFY,Infosys Ltd
HDFCBANK,HDFC Bank Ltd
SBIN,State Bank of India
ICICIBANK,ICICI Bank Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
WIPRO,Wipro Ltd
MARUTI,Maruti Suzuki India Ltd

HINDUNILVR,Hindustan Unilever Ltd
ASIANPAINT,Asian Paints Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
TITAN,Titan Company Ltd
LT,Larsen & Toubro Ltd
ULTRACEMCO,UltraTech Cement Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
AXISBANK,Axis Bank Ltd
BHARTIARTL,Bharti Airtel Ltd
ADANIENT,Adani Enterprises Ltd
ADANIPORTS,Adani Ports and SEZ Ltd
ADANIGREEN,Adani Green Energy Ltd
ADANIPOWER,Adani Power Ltd
ANANTRAJ,Anant Raj Ltd
HYUNDAI,HYUNDAI MOTOR INDIA LTD
TATACONSUM,Tata Consumer Products Ltd
TATSILV,Tata Silver Exchange Traded Fund
