date,Close,High,Low,Open,Volume
,3IINFOLTD.NS,3IINFOLTD.NS,3IINFOLTD.NS,3IINFOLTD.NS,3IINFOLTD.NS
2016-03-15,42.0,44.5,42.0,44.5,118536
2016-03-16,42.0,43.0,42.0,42.0,88977
2016-03-17,43.0,44.0,42.5,42.5,112426
2016-03-18,43.0,44.0,42.5,44.0,98865
2016-03-21,45.5,48.0,43.0,44.0,285058
2016-03-22,45.5,47.0,45.0,47.0,172481
2016-03-23,44.5,46.5,43.5,46.5,105542
2016-03-28,42.0,44.5,41.5,44.0,191135
2016-03-29,40.5,43.0,40.0,42.0,160090
2016-03-30,41.5,42.0,40.5,40.5,63898
2016-03-31,41.5,43.5,41.0,41.5,82684
2016-04-01,44.0,45.5,41.0,42.0,171940
2016-04-04,44.5,45.5,44.0,45.5,101302
2016-04-05,42.5,45.0,42.0,45.0,144329
2016-04-06,43.0,44.5,42.0,42.5,112080
2016-04-07,43.0,43.5,42.5,43.0,60890
2016-04-08,43.5,44.5,42.5,43.0,69316
2016-04-11,42.5,43.5,42.0,43.5,90656
2016-04-12,41.5,43.0,41.5,42.5,68347
2016-04-13,42.0,43.0,41.5,41.5,93816
2016-04-18,42.5,44.0,41.5,42.5,106933
2016-04-20,43.5,46.0,42.5,42.5,262609
2016-04-21,43.0,44.5,43.0,44.0,68407
2016-04-22,42.5,44.0,42.5,43.5,85581
2016-04-25,42.5,43.5,42.5,43.0,77267
2016-04-26,42.5,44.5,42.0,42.5,123142
2016-04-27,43.5,44.5,42.5,42.5,137475
2016-04-28,43.0,44.0,42.5,43.5,84851
2016-04-29,42.5,43.0,42.0,42.5,118144
2016-05-02,42.0,42.5,41.5,42.0,68128
2016-05-03,41.5,42.5,41.5,42.5,80770
2016-05-04,41.5,42.0,41.0,42.0,97317
2016-05-05,41.5,42.5,41.0,41.5,51485
2016-05-06,40.5,42.0,40.0,41.5,83193
2016-05-09,40.5,41.5,40.0,41.0,100219
2016-05-10,40.0,41.0,40.0,40.5,54807
2016-05-11,42.0,43.5,39.0,40.0,201049
2016-05-12,41.5,42.5,41.0,41.5,41136
2016-05-13,42.0,43.0,40.5,41.5,187579
2016-05-16,42.0,43.0,42.0,42.0,97227
2016-05-17,42.5,43.0,41.5,42.5,89670
2016-05-18,42.0,42.5,41.0,42.5,66914
2016-05-19,42.0,42.5,41.5,42.5,35046
2016-05-20,42.0,43.5,42.0,42.5,73445
2016-05-23,42.0,42.5,41.5,42.0,66428
2016-05-24,40.5,42.0,40.5,41.5,103439
2016-05-25,40.5,42.0,40.0,40.5,75409
2016-05-26,41.0,42.0,40.0,41.0,145338
2016-05-27,39.5,42.5,39.0,42.0,220997
2016-05-30,39.5,40.5,38.5,39.5,163534
2016-05-31,38.0,40.0,38.0,40.0,147597
2016-06-01,39.5,40.5,38.0,38.0,96016
2016-06-02,39.5,40.0,38.5,40.0,54128
2016-06-03,38.5,39.5,38.0,39.5,86426
2016-06-06,38.0,39.5,37.5,38.5,76205
2016-06-07,38.0,39.0,37.5,38.5,74205
2016-06-08,41.0,41.5,37.5,38.0,216072
2016-06-09,39.5,41.5,39.0,41.5,122066
2016-06-10,40.5,42.5,39.5,39.5,197445
2016-06-13,41.5,42.0,39.5,40.5,137745
2016-06-14,44.5,45.5,41.5,41.5,404885
2016-06-15,45.0,46.5,43.0,45.0,379888
2016-06-16,53.0,54.0,47.5,50.0,1467942
2016-06-17,54.0,56.5,49.5,56.0,1455300
2016-06-20,51.5,53.5,50.5,52.5,476463
2016-06-21,51.5,53.0,51.0,51.5,267754
2016-06-22,50.0,52.5,49.0,51.5,243017
2016-06-23,48.5,50.0,48.0,50.0,117876
2016-06-24,47.0,48.5,42.5,47.5,297245
2016-06-27,48.0,49.0,46.5,49.0,98493
2016-06-28,48.0,49.5,48.0,49.0,88417
2016-06-29,50.5,52.5,47.5,48.0,275756
2016-06-30,51.0,52.5,50.5,52.0,175289
2016-07-01,50.0,52.0,50.0,52.0,149934
2016-07-04,50.5,52.0,50.0,50.5,135686
2016-07-05,51.0,51.5,50.5,51.5,154749
2016-07-07,53.5,54.5,51.5,53.5,426338
2016-07-08,53.0,55.0,52.0,54.0,230369
2016-07-11,53.0,54.5,52.0,54.5,230560
2016-07-12,52.5,54.0,51.5,53.0,169349
2016-07-13,50.5,52.5,50.0,52.0,181900
2016-07-14,51.0,51.5,50.0,51.0,87597
2016-07-15,51.0,51.5,50.0,51.5,136888
2016-07-18,50.0,52.0,50.0,51.0,139052
2016-07-19,50.0,51.5,49.5,51.5,94114
2016-07-20,50.0,51.5,49.5,51.5,142676
2016-07-21,49.5,51.0,49.5,50.0,129174
2016-07-22,54.5,59.0,49.5,50.0,1300686
2016-07-25,53.5,55.5,52.5,55.5,431279
2016-07-26,53.0,55.5,52.5,53.5,216155
2016-07-27,51.5,54.0,51.0,53.0,230102
2016-07-28,51.5,53.0,51.0,52.0,187697
2016-07-29,51.0,52.0,50.5,51.5,114669
2016-08-01,51.0,53.5,50.5,52.0,141055
2016-08-02,50.0,51.5,49.5,51.0,137799
2016-08-03,49.0,51.0,48.5,50.5,129915
2016-08-04,49.5,51.5,49.0,50.0,225140
2016-08-05,49.5,50.0,47.5,50.0,269999
2016-08-08,49.5,51.5,49.0,50.0,113970
2016-08-09,49.5,50.5,48.5,50.5,129014
2016-08-10,54.0,55.0,49.5,50.0,416678
2016-08-11,53.0,55.5,51.5,53.5,413429
2016-08-12,60.0,63.0,51.0,53.5,3714031
2016-08-16,59.5,63.0,58.0,61.0,1241380
2016-08-17,53.5,59.0,53.5,58.5,887422
2016-08-18,52.0,54.0,51.0,53.0,440226
2016-08-19,55.0,56.0,52.0,52.5,504656
2016-08-22,56.5,58.0,55.5,56.0,462916
2016-08-23,55.5,58.0,54.5,57.5,297861
2016-08-24,54.5,56.5,54.5,56.0,166098
2016-08-25,53.0,56.0,52.5,56.0,252181
2016-08-26,52.5,54.0,52.0,54.0,169937
2016-08-29,51.0,53.0,50.0,52.0,256615
2016-08-30,52.0,52.5,51.0,52.0,112592
2016-08-31,52.5,53.0,51.5,52.0,169763
2016-09-01,50.5,53.5,50.5,52.5,261926
2016-09-02,51.5,52.0,50.0,50.5,152689
2016-09-06,51.5,52.5,51.0,52.0,85672
2016-09-07,52.5,54.0,50.5,51.0,325366
2016-09-08,54.0,55.0,52.0,52.5,226541
2016-09-09,57.0,58.5,54.0,54.5,804665
2016-09-12,55.5,58.5,54.0,56.5,611650
2016-09-14,63.5,65.0,55.5,55.5,1416256
2016-09-15,61.5,65.0,60.5,64.0,772786
2016-09-16,59.5,62.5,57.5,62.5,458424
2016-09-19,59.5,61.0,59.0,60.5,293074
2016-09-20,59.0,61.0,58.5,59.5,210392
2016-09-21,58.5,60.0,58.0,60.0,251379
2016-09-22,58.5,59.5,58.0,59.5,204999
2016-09-23,58.0,59.0,58.0,58.5,182753
2016-09-26,57.0,58.5,55.5,57.5,220345
2016-09-27,56.0,58.0,56.0,57.5,133143
2016-09-28,58.0,58.5,56.0,57.0,219159
2016-09-29,53.5,61.5,52.5,59.0,878480
2016-09-30,57.5,58.0,54.0,54.0,270305
2016-10-03,58.5,60.5,57.5,58.5,224365
2016-10-04,59.5,61.0,58.5,60.0,187437
2016-10-05,59.0,60.5,58.0,60.5,181951
2016-10-06,57.5,60.0,57.0,60.0,160101
2016-10-07,57.0,59.5,56.5,58.0,322401
2016-10-10,57.0,58.0,56.5,58.0,168903
2016-10-13,57.5,58.5,56.5,57.0,180767
2016-10-14,58.0,59.5,57.5,57.5,204895
2016-10-17,60.0,61.0,58.0,58.0,234594
2016-10-18,63.0,66.5,60.0,61.0,820442
2016-10-19,63.0,64.0,60.0,63.5,379477
2016-10-20,68.0,69.0,63.0,65.0,945955
2016-10-21,66.5,71.0,64.0,69.0,1174868
2016-10-24,65.5,71.5,64.5,71.0,947390
2016-10-25,63.0,65.5,61.5,65.5,507555
2016-10-26,64.5,67.5,61.5,62.0,453514
2016-10-27,64.0,65.5,63.0,64.0,230156
2016-10-28,65.0,66.0,63.0,64.5,237145
2016-11-01,66.5,68.0,65.5,68.0,277039
2016-11-02,64.5,66.0,63.5,66.0,358986
2016-11-03,64.5,67.0,64.0,65.5,286646
2016-11-04,61.0,66.0,60.0,66.0,456482
2016-11-07,61.5,63.5,61.0,61.5,200112
2016-11-08,61.5,63.0,61.0,62.0,169068
2016-11-09,60.0,61.0,50.0,57.0,560734
2016-11-10,60.5,63.5,60.5,63.0,195799
2016-11-11,59.0,61.5,58.5,61.5,187609
2016-11-15,56.5,59.5,55.5,59.0,207910
2016-11-16,54.5,58.5,53.5,58.5,213919
2016-11-17,51.5,57.0,50.5,56.5,272259
2016-11-18,52.5,54.0,50.0,54.0,176617
2016-11-21,51.0,54.5,50.5,53.0,161972
2016-11-22,51.0,52.5,49.5,52.5,151931
2016-11-23,50.5,52.0,49.0,52.0,262052
2016-11-24,50.0,51.0,49.5,51.0,84573
2016-11-25,55.5,57.0,50.0,50.5,395745
2016-11-28,55.0,56.5,54.5,56.5,133158
2016-11-29,54.0,55.5,53.5,55.0,106882
2016-11-30,54.5,55.5,54.0,54.0,97251
2016-12-01,57.0,59.5,56.5,57.5,343857
2016-12-02,55.5,57.0,54.5,57.0,121148
2016-12-05,57.0,58.0,56.0,56.5,99890
2016-12-06,59.5,61.0,56.5,56.5,388259
2016-12-07,58.0,60.5,57.0,60.0,141169
2016-12-08,57.5,59.5,57.0,57.5,87518
2016-12-09,59.0,61.0,57.5,58.5,203830
2016-12-12,57.5,60.0,57.0,59.5,86414
2016-12-13,56.5,59.5,55.5,59.0,107060
2016-12-14,56.0,57.5,55.5,56.0,109417
2016-12-15,57.5,58.0,55.5,56.0,129109
2016-12-16,56.5,58.0,56.5,56.5,68702
2016-12-19,56.0,57.0,55.0,56.5,111494
2016-12-20,56.0,57.0,55.5,56.0,75892
2016-12-21,56.0,58.0,55.0,58.0,101926
2016-12-22,55.0,56.5,54.0,56.0,74560
2016-12-23,54.5,55.5,54.0,55.0,80074
2016-12-26,53.5,58.0,53.0,54.0,111737
2016-12-27,54.0,55.0,53.0,53.0,68750
2016-12-28,55.0,56.0,53.5,54.0,86035
2016-12-29,55.5,56.5,55.0,56.5,39653
2016-12-30,56.5,57.0,56.0,57.0,68162
2017-01-02,56.0,58.0,55.5,58.0,49647
2017-01-03,56.0,57.0,56.0,57.0,74423
2017-01-04,56.0,57.0,55.5,57.0,57989
2017-01-05,57.5,59.0,56.0,56.0,153585
2017-01-06,57.5,58.5,57.0,58.5,121291
2017-01-09,60.0,62.0,57.0,58.0,410679
2017-01-10,60.5,62.5,59.5,61.5,283901
2017-01-11,61.5,62.0,60.5,62.0,219494
2017-01-12,62.5,64.0,61.5,62.0,278813
2017-01-13,62.5,63.5,62.0,62.0,112041
2017-01-16,62.0,63.0,61.5,62.0,88183
2017-01-17,60.5,62.5,60.0,62.5,93984
2017-01-18,60.5,61.5,60.0,61.5,135673
2017-01-19,60.0,61.5,59.5,61.5,133849
2017-01-20,59.5,60.5,59.0,60.0,130554
2017-01-23,65.5,67.0,58.5,60.0,1038498
2017-01-24,61.0,68.0,60.5,67.0,644932
2017-01-25,59.0,62.5,58.0,60.5,441196
2017-01-27,57.5,61.0,57.0,60.0,481884
2017-01-30,57.5,60.5,57.5,58.0,277603
2017-01-31,56.0,59.0,55.5,58.5,279173
2017-02-01,56.0,57.5,55.0,56.5,242398
2017-02-02,55.0,58.0,54.5,56.5,314072
2017-02-03,55.0,57.0,54.5,56.0,494132
2017-02-06,55.0,56.5,55.0,56.5,271983
2017-02-07,56.0,56.5,55.0,55.0,267959
2017-02-08,55.5,57.5,55.0,56.5,253485
2017-02-09,55.0,56.0,54.5,56.0,253718
2017-02-10,54.5,56.5,54.0,55.5,187425
2017-02-13,54.0,56.0,53.5,55.0,184879
2017-02-14,53.5,55.0,53.5,55.0,157892
2017-02-15,52.5,54.5,52.0,54.5,183073
2017-02-16,52.0,53.5,52.0,52.5,213478
2017-02-17,52.0,53.5,51.5,52.0,161430
2017-02-20,54.5,56.5,52.0,52.5,334657
2017-02-21,54.0,57.5,54.0,55.0,308982
2017-02-22,53.0,55.5,52.5,55.5,125485
2017-02-23,52.5,54.5,52.0,54.5,205282
2017-02-27,51.5,53.5,51.5,53.5,247506
2017-02-28,51.0,52.5,51.0,52.5,204416
2017-03-01,52.0,53.0,51.5,52.0,133916
2017-03-02,52.0,53.5,52.0,52.5,196505
2017-03-03,51.0,52.5,51.0,52.0,106587
2017-03-06,52.0,52.5,51.5,52.0,116840
2017-03-07,51.5,53.0,51.0,53.0,83101
2017-03-08,50.5,52.0,50.0,52.0,187626
2017-03-09,50.0,51.0,49.5,50.5,242519
2017-03-10,50.0,51.0,49.5,51.0,207484
2017-03-14,50.0,52.0,49.5,51.0,171178
2017-03-15,50.0,51.0,49.5,50.0,183012
2017-03-16,50.0,50.5,49.5,50.0,178561
2017-03-17,50.0,51.0,49.5,50.5,205745
2017-03-20,50.0,50.5,49.5,50.0,88379
2017-03-21,48.5,50.5,47.5,50.5,276873
2017-03-22,48.0,49.5,47.5,48.0,357324
2017-03-23,47.0,49.0,47.0,48.0,175501
2017-03-24,48.0,49.5,47.0,48.0,290561
2017-03-27,51.0,54.0,48.0,48.0,484944
2017-03-28,50.0,51.5,49.5,51.0,167073
2017-03-29,48.5,51.0,48.0,50.0,231453
2017-03-30,49.0,49.5,48.5,49.0,97060
2017-03-31,50.5,51.5,48.5,49.0,251239
2017-04-03,50.5,51.5,50.0,50.5,143819
2017-04-05,52.0,53.0,50.0,51.0,289763
2017-04-06,54.5,55.5,51.5,52.5,332821
2017-04-07,54.5,56.0,54.0,54.0,336390
2017-04-10,55.0,56.0,54.5,55.0,165694
2017-04-11,55.5,56.0,55.0,55.5,142354
2017-04-12,54.0,56.0,53.0,56.0,183087
2017-04-13,53.5,54.5,53.0,54.0,64640
2017-04-17,53.5,54.0,52.5,53.5,112985
2017-04-18,55.0,55.5,53.5,54.5,227265
2017-04-19,57.5,60.5,54.0,56.0,507710
2017-04-20,57.5,60.5,57.0,57.5,382925
2017-04-21,57.0,59.0,56.5,58.5,213244
2017-04-24,55.5,58.0,55.5,56.5,200827
2017-04-25,55.5,56.5,55.0,55.5,168210
2017-04-26,54.5,56.5,54.5,56.5,153169
2017-04-27,55.5,56.0,54.5,55.0,172781
2017-04-28,55.0,57.0,54.5,56.5,231467
2017-05-02,54.0,58.0,53.0,58.0,573528
2017-05-03,53.5,56.5,53.0,55.5,195428
2017-05-04,52.5,54.5,52.0,54.0,216515
2017-05-05,51.0,53.0,51.0,52.0,172103
2017-05-08,51.0,54.0,51.0,52.0,366474
2017-05-09,52.5,55.5,51.0,52.0,397077
2017-05-10,53.5,55.5,52.5,52.5,465696
2017-05-11,52.0,54.5,52.0,53.5,213865
2017-05-12,51.0,52.5,49.5,52.0,451762
2017-05-15,51.0,52.0,51.0,52.0,193658
2017-05-16,50.5,51.5,50.0,51.5,194782
2017-05-17,50.5,51.5,50.0,51.0,180920
2017-05-18,50.0,50.5,49.5,50.5,145397
2017-05-19,49.5,50.5,49.5,50.5,150100
2017-05-22,49.0,50.0,49.0,50.0,145807
2017-05-23,47.5,49.5,46.5,49.5,350364
2017-05-24,45.5,48.0,45.0,47.5,349915
2017-05-25,45.5,46.5,45.0,46.0,176411
2017-05-26,47.5,49.0,45.5,46.0,191498
2017-05-29,46.0,49.0,45.5,49.0,143317
2017-05-30,46.0,46.5,44.5,46.0,242551
2017-05-31,45.5,46.5,45.0,46.5,163835
2017-06-01,46.5,49.0,45.5,46.5,209795
2017-06-02,47.0,48.5,46.5,46.5,93129
2017-06-05,46.0,48.0,45.5,47.0,137369
2017-06-06,46.0,48.0,45.5,45.5,95643
2017-06-07,45.0,46.5,45.0,46.0,149095
2017-06-08,45.0,46.0,45.0,45.0,86233
2017-06-09,45.0,45.5,44.5,45.5,94048
2017-06-12,44.5,45.5,44.5,45.0,125619
2017-06-13,44.5,46.0,44.5,46.0,97971
2017-06-14,44.5,45.5,44.5,45.0,35885
2017-06-15,44.0,45.0,44.0,44.5,102909
2017-06-16,44.0,45.0,44.0,44.0,110074
2017-06-19,44.0,45.0,43.0,44.0,192749
2017-06-20,43.5,44.0,43.0,44.0,144860
2017-06-21,43.0,43.5,43.0,43.0,64535
2017-06-22,42.0,43.5,42.0,43.5,369269
2017-06-23,41.5,44.0,41.5,42.5,346506
2017-06-27,40.5,42.0,40.5,42.0,124866
2017-06-28,45.5,48.5,40.0,41.0,2015705
2017-06-29,43.5,48.0,42.5,48.0,902909
2017-06-30,42.5,44.0,42.0,44.0,282777
2017-07-03,46.0,49.0,43.0,44.0,811828
2017-07-04,45.5,48.0,44.0,47.0,430634
2017-07-05,44.5,47.0,44.5,47.0,233928
2017-07-06,44.5,46.5,44.0,45.0,425019
2017-07-07,44.5,46.0,43.5,44.0,486985
2017-07-10,45.0,46.0,44.0,45.5,127637
2017-07-11,45.0,48.0,44.5,45.5,462609
2017-07-12,45.0,46.0,44.5,45.0,183572
2017-07-13,44.5,46.5,44.5,45.5,257343
2017-07-14,45.0,45.5,44.5,45.0,153033
2017-07-17,44.5,45.5,44.0,45.0,359972
2017-07-18,44.0,45.5,43.5,45.0,277530
2017-07-19,45.0,46.5,43.5,44.5,593175
2017-07-20,45.0,46.5,44.0,45.0,557412
2017-07-21,44.5,46.5,44.0,45.5,599616
2017-07-24,42.5,44.5,42.5,44.5,706071
2017-07-25,43.0,43.5,42.5,43.0,293570
2017-07-26,44.0,44.5,42.5,43.0,538492
2017-07-27,43.5,45.0,43.0,44.5,286772
2017-07-28,43.0,44.0,42.5,44.0,233991
2017-07-31,41.5,43.5,41.0,43.0,472253
2017-08-01,41.0,42.5,40.5,41.5,435730
2017-08-02,41.0,42.0,40.5,41.5,215380
2017-08-03,41.0,42.5,40.5,41.0,479019
2017-08-04,41.0,41.5,40.5,41.5,212289
2017-08-07,40.0,41.5,40.0,41.0,403473
2017-08-08,40.0,40.5,39.5,40.0,290020
2017-08-09,39.5,40.0,39.0,40.0,208100
2017-08-10,38.0,39.5,37.5,39.5,309675
2017-08-11,37.0,38.5,36.0,38.0,376745
2017-08-14,40.0,40.0,38.0,38.0,180480
2017-08-16,39.5,40.0,38.0,40.0,269383
